MedicName,Dose 
Potassium Iodide,"Antithyroid agent
***************
Neonatal Grave’s disease: 50–100 mg (about 1–2 drops of SSKI) PO once daily
     Thyrotoxicosis:
         Child: 50–250 mg (about 1–5 drops of SSKI) PO TID
         Adult: 50–500 mg (1–10 drops of SSKI) PO TID

Cutaneous or lymphocutaneous sporotrichosis (treat for 4–6 wk after lesions have completely healed; increase dose until either max. dose is achieved or signs of intolerance appear):
       Child and adolescent (limited data): 50 mg PO TID. Dose may be gradually increased as tolerated to the max. dose of the lesser of 50 mg/kg/dose or 2000–2500 mg PO TID.
       Adult: Start with 250 mg PO TID. Doses may be gradually increased as tolerated to the max. dose of 2000–2500 mg PO TID.

Contraindicated in pregnancy, hyperkalemia, iodine-induced goiter, and hypothyroidism. Use with caution in cardiac disease and renal failure. GI disturbance, metallic taste, rash, salivary gland inflammation, headache, lacrimation, and rhinitis are symptoms of iodism. Give with milk or water after meals. Monitor thyroid function tests. Onset of antithyroid effects: 1–2 days. Lithium carbonate and iodide-containing medications may have synergistic hypothyroid activity. Potassium-containing medications, potassium-sparing diuretics, and ACE inhibitors may increase serum potassium levels. For use as a thyroid blocking agent in nuclear or radiation emergencies, see http://www.fda.gov/drugs/emergencypreparedness/bioterrorismanddrugpreparedness/ucm319791.htm"
Potassium Supplements,"Electrolyte
*********
Hypokalemia:
   Oral:
       Child: 1–4 mEq/kg/24 hr ÷ BID–QID. Monitor serum potassium
       Adult: 40–100 mEq/24 hr ÷ BID–QID
  IV: MONITOR SERUM K CLOSELY
       Child: 0.5–1 mEq/kg/dose given as an infusion of 0.5 mEq/kg/hr × 1–2 hr
       Max. IV infusion rate: 1 mEq/kg/hr. This may be used in critical situations (i.e., hypokalemia with arrhythmia)
Adult:
      Serum K ≥2.5 mEq/L: Replete at rates up to 10 mEq/hr. Total dosage not to exceed 200 mEq/24 hr
      Serum K <2 mEq/L: Replete at rates up to 40 mEq/hr. Total dosage not to exceed 400 mEq/24 hr
          Max. peripheral IV solution concentration: 40 mEq/L
          Max. concentration for central line administration: 150–200 mEq/L

PO administration may cause GI disturbance and ulceration. Oral liquid supplements should be diluted in water or fruit juice prior to administration. Sustained-release tablets must be swallowed whole and NOT dissolved in the mouth or chewed.
Do not administer IV potassium undiluted. IV administration may cause irritation, pain, and phlebitis at the infusion site. Rapid or central IV infusion may cause cardiac arrhythmias. Patients receiving infusion >0.5 mEq/kg/hr (>20 mEq/hr for adults) should be placed on an ECG monitor"
Pralidoxime Chloride,"Antidote, organophosphate poisoning
*******************************
Organophosphate poisoning (use with atropine):
   Child:
        IV intermittent: 20–50 mg/kg/dose (max. dose: 2000 mg) × 1 IV. May repeat in 1–2 hr if muscle weakness is not relieved, then at Q10–12 hr PRN if cholinergic signs reappear
        IV continuous infusion: loading dose of 20–50 mg/kg/dose (max. dose: 2000 mg) IV over 15–30 min followed by 10–20 mg/kg/hr
        IM:
               <40 kg: 15 mg/kg/dose × 1 IM. May repeat Q15 min PRN up to a max. total dose of 45 mg/kg for mild symptoms; may repeat twice in rapid succession for severe symptoms (max. total dose of 45 mg/kg). For persistent symptoms, may repeat another max. 45 mg/kg series (in three divided doses) approximately 1 hr after the last injection
              ≥40 kg: 600 mg × 1 IM. May repeat Q15 min PRN up to a max. total dose of 1800 mg for mild symptoms; may repeat twice in rapid succession for severe symptoms (max. total dose of 1800 mg). For persistent symptoms, may repeat another max. 1800 mg series (in three divided doses) approximately 1 hr after the last injection.

Adult:
      IV intermittent: 1–2 g/dose × 1 IV. May repeat in 1–2 hr if muscle weakness is not relieved, then at Q10–12 hr PRN if cholinergic signs reappear
      IM: Use ≥ 40 kg child IM dosage from above

Contraindicated in poisoning due to phosphorus, inorganic phosphates, or organic phosphates without anticholinesterase activity. Do not use as an antidote for carbamate classes of pesticides. Removal of secretions and maintaining a patent airway is critical.
May cause muscle rigidity, laryngospasm, and tachycardia after rapid IV infusion. Drug is generally ineffective if administered 36–48 hr after exposure. Additional doses may be necessary. For IV administration, dilute to 50 mg/mL or less and infuse over 15–30 min (not to exceed 200 mg/ min). Reduce dosage in renal impairment because 80%–90% of the drug is excreted unchanged inthe urine 12 hr after administration"
Prednisolone,"Corticosteroid
************
See Prednisone for oral dosing (equivalent dosing).

Ophthalmic (consult ophthalmologist before use):
Child and adult: Start with 1–2 drops Q1 hr during the day and Q2 hr during the night until favorable response, then reduce dose to 1 drop Q4 hr. Dose may be further reduced to 1 drop TID–QID.

See Prednisone for remarks. Pregnancy category changes to “D” if used in the first trimester. 
OPHTHALMIC USE: Contraindicated in viral (e.g., herpes simplex, vaccinia, and varicella), fungal, and mycobacterial infections of the cornea and conjunctiva. Increase in intraocular pressure, cataract formation, and delayed wound healing may occur"
Prednisone,"Corticosteroid
************
Antiinflammatory/immunosuppressive:
       Child: 0.5–2 mg/kg/24 hr PO ÷ once daily–BID

Acute asthma:
         Child: 2 mg/kg/24 hr PO ÷ once daily–BID × 5–7 days; max. dose: 80 mg/24 hr. Patients may benefit from tapering if therapy exceeds 5–7 days.

Asthma exacerbations (2007 National Heart, Lung, and Blood Institute Guideline Recommendations; dose until peak expiratory flow reaches 70% of predicted or personal best):
       Child ≤12 yr: 1–2 mg/kg/24 hr PO ÷ Q12 hr (max. dose: 60 mg/24 hr)
        >12 yr and adult: 40–80 mg/24 hr PO ÷ Q12–24 hr

Outpatient asthma exacerbation burst therapy (longer durations may be necessary):
        Child ≤12 yr: 1–2 mg/kg/24 hr PO ÷ Q12–24 hr (max. dose: 60 mg/24 hr) × 3–10 days
        Child >12 yr and adult: 40–60 mg/24 hr PO ÷ Q12–24 hr × 5–10 days

Nephrotic syndrome:
        Child: Starting dose of 2 mg/kg/24 hr PO (max. dose: 60 mg/24 hr) ÷ once daily–TID is recommended. Further treatment plans are individualized. 
       Consult a nephrologist

Relative steroid potencies, and doses based on body surface area. Methylprednisolone is preferable in hepatic disease because prednisone must be converted to methylprednisolone in the liver.
Side effects may include: mood changes, seizures, hyperglycemia, diarrhea, nausea, abdominal distension, GI bleeding, HPA axis suppression, osteopenia, cushingoid effects, and cataracts with prolonged use. Prednisone is a CYP450 3A3/4 substrate and inducer.
Barbiturates, carbamazepine, phenytoin, rifampin, isoniazid, may reduce the effects of prednisone, whereas estrogens may enhance the effects. Pregnancy category changes to “D” if used in the first trimester"
Primaquine Phosphate,"Antimalarial
**********
Doses expressed in mg of primaquine base:
    Malaria:
          Prevention of relapses for P. vivax or P. ovale only (initiate therapy during the last 2 wk of, or following a course of, suppression with chloroquine or comparable drug):
                 Child: 0.5 mg/kg/dose (max. dose: 30 mg/dose) PO once daily × 14 days
                 Adult: 30 mg PO once daily × 14 days

Malaria:
      Prevention of chloroquine-resistant strains (initiate 1 day prior to departure and continue until 3–7 days after leaving endemic area):
           Child: 0.5 mg/kg/dose PO once daily; max. dose: 30 mg/24 hr
           Adult: 30 mg PO once daily

Pneumocystis jiroveci (carinii) pneumonia (in combination with clindamycin):
       Child: 0.3 mg/kg/dose (max. dose: 30 mg/dose) PO once daily × 21 days
       Adult: 30 mg PO once daily × 21 days

Contraindicated in granulocytopenia (e.g., rheumatoid arthritis and lupus erythematosus) and bone marrow suppression. Avoid use with quinacrine and with other drugs that have a potential for causing hemolysis or bone marrow suppression. Use with caution in G6PD and NADH methemoglobin-reductase deficient patients due to increased risk for hemolytic anemia and leukopenia, respectively. Monitor ECG for QTc prolongation in patients with cardiac disease, history of arrhythmias, uncorrected hypokalemia and/or hypomagnesemia, bradycardia, and receiving concomitant QTc prolonging medications. Use in pregnancy is not recommended by the AAP Red Book. Cross sensitivity with iodoquinol. May cause headache, visual disturbances, nausea, vomiting, and abdominal cramps. Hemolytic anemia, leukopenia, cardiac arrhythmia, QTc interval prolongation, and methemoglobinemia have been reported. Administer all doses with food to mask bitter taste"
Primidone,"Anticonvulsant, barbiturate
***********************
Neonate: 12–20 mg/kg/24 hr PO ÷ BID–QID; initiate therapy at the lower dosage range and titrate upwards
     Child, adolescent, and adult:
             Day of Therapy <8 yr ≥8 yr and Adult
             Days 1–3 50 mg PO QHS 100–125 mg PO QHS
             Days 4–6 50 mg PO BID 100–125 mg PO BID
             Days 7–9 100 mg PO BID 100–125 mg PO TID
             Day 10 and thereafter 125–250 mg PO TID or
                   10–25 mg/kg/ 24 hr ÷ TID–QID
                   250 mg PO TID–QID; max. dose: 2 g/24 hr

Use with caution in renal or hepatic disease and pulmonary insufficiency. Primidone is metabolized to phenobarbital and has the same drug interactions and toxicities (see Phenobarbital). Additionally, primidone may cause vertigo, nausea, leukopenia, malignant
lymphoma-like syndrome, diplopia, nystagmus, systemic lupus-like syndrome. Monitor for suicidal behavior or ideation. Acetazolamide may decrease primidone absorption. Adjust dose in renal failure .Follow both primidone and phenobarbital levels. Therapeutic levels: 5–12 mg/L of primidone and 15–40 mg/L of phenobarbital. Recommended serum sampling time at steady-state: trough level obtained within 30 min prior to the next scheduled dose after 1–4 days of continuous dosing"
Probenecid,"Penicillin therapy adjuvant, uric acid lowering agent
******************************************
To prolong penicillin levels.
       Child (2–14 yr): 25 mg/kg PO × 1, then 40 mg/kg/24 hr ÷ QID; max. single dose: 500 mg/dose. Use adult dose if >50 kg
       Adult: 500 mg PO QID

Hyperuricemia:
     Adult: 250 mg PO BID × 1 wk, then 500 mg PO BID; may increase by 500 mg increments Q4 wk PRN up to a max. dose of 2–3 g/24 hr ÷ BID

Gonorrhea, antibiotic adjunct (administer just prior to antibiotic):
    ≤45 kg: 23 mg/kg/dose PO × 1
     >45 kg: 1 g PO × 1

Prevention of nephrotoxicity from cidofovir: see Cidofovir. Use with caution in patients with peptic ulcer disease. Contraindicated in children <2 yr and patients with renal insufficiency. Do not use if GFR < 30 mL/min.
Increases uric acid excretion. Inhibits renal tubular secretion of acyclovir, ganciclovir, ciprofloxacin, levofloxacin, nalidixic acid, moxifloxacin, organic acids, penicillins, cephalosporins, AZT, dapsone, methotrexate, nonsteroidal antiinflammatory agents, and benzodiazepines. Salicylates may decrease  Probenecid’s activity. Alkalinize urine in patients with gout. May cause headache, GI symptoms, rash, anemia, and hypersensitivity. False-positive glucosuria with Clinitest may occur"
Procainamide,"Antiarrhythmic, class Ia
*******************
Child (limited data):
      IV: Load with 15 mg/kg/dose IV or IO × 1 over 30–60 min. Then followed by maintenance continuous IV infusion of 20–80 mcg/kg/min; max. dose: 2 g/24 hr
      IM: 20–30 mg/kg/24 hr ÷ Q4–6 hr; max. dose: 4 g/24 hr (peak effect in 1 hr)
Adult:
         IV: Load: 50–100 mg/dose; repeat dose Q5 min PRN to a max. total dose of 1000–1500 mg
          Maintenance: 1–6 mg/min by continuous infusion
        IM: 50 mg/kg/24 hr ÷ Q3–6 hr

NOTE: The IV infusion dosage units for adults are in mg/min compared with mcg/kg/min for children.

Contraindicated in myasthenia gravis, complete heart block, SLE, and torsade de pointes. Use with caution in asymptomatic premature ventricular contractions, digitalis intoxication, CHF, and renal or hepatic dysfunction. Adjust dose in renal failure. May cause lupus-like syndrome, positive Coombs test, thrombocytopenia, arrhythmias, GI complaints, and confusion. Increased LFTs and liver failure have been reported. Monitor BP and ECG when using IV. QRS widening by >0.02 sec suggests toxicity. Do not use with desipramine and other TCAs. Cimetidine, ranitidine, amiodarone, β-blockers, and trimethoprim may increase procainamide levels. Procainamide may enhance the effects of skeletal muscle relaxants and anticholinergic agents. Therapeutic levels: 4–10 mg/L of procainamide or 10–30 mg/L of procainamide and NAPA levels combined. Recommended serum sampling times: IM intermittent dosing: Trough level within 30 min prior to the next scheduled dose after 2 days of continuous dosing (steady state). IV continuous infusion: 2 and 12 hr after start of infusion and at 24-hr intervals thereafter."
Prochlorperazine,"Antiemetic, phenothiazine derivative
******************************
Antiemetic doses:
      Child (>10 kg or >2 yr):
           PO or PR: 0.4 mg/kg/24 hr ÷ TID–QID or alternative dosing by weight:
                      10–14 kg: 2.5 mg once daily–BID; max. dose: 7.5 mg/24 hr
                      15–18 kg: 2.5 mg BID–TID; max. dose: 10 mg/24 hr
                      19–39 kg: 2.5 mg TID or 5 mg BID; max. dose: 15 mg/24 hr
                      >39 kg: Use adult dose
          IM: 0.1–0.15 mg/kg/dose BID–TID; max. dose: 10 mg/single dose or 40 mg/24 hr

Adult:
      PO: 5–10 mg/dose TID–QID; max. dose: 40 mg/24 hr
      PR: 25 mg/dose BID
     IM: 5–10 mg/dose Q3–4 hr
     IV: 2.5–10 mg/dose; may repeat Q3–4 hr
     Max. IM/IV dose: 40 mg/24 hr

Psychoses:
      Child 2–12 yr and >9 kg:
            PO: Start with 2.5 mg BID–TID with a max. first day dose of 10 mg/24 hr. Dose may be increased as needed to 20 mg/24 hr for children 2–5 yr and 25 mg/24 hr for 6–12 yr.
            IM: 0.13 mg/kg/dose × 1 and convert to PO immediately.
       Adult:
            PO: 5–10 mg TID–QID; may be increased as needed to a max. dose of 150 mg/24 hr
            IM: 10–20 mg Q2–4 hr PRN convert to PO immediately.

Intractable migraines:
     Child (5–18 yr, limited data): 0.15 mg/kg/dose IV over 10 min was effective in migraine headaches presenting in the emergency departments (see Ann Emerg Med. 2004;43:256-262). 

Toxicity as for other phenothiazines (see Chlorpromazine). Extrapyramidal reactions (reversed by diphenhydramine) or orthostatic hypotension may occur. May mask signs and symptoms of overdosage of other drugs and may obscure the diagnosis and treatment of conditions such as intestinal obstruction, brain tumor, and Reye’s syndrome. May cause false-positive test for phenylketonuria, urinary amylase, uroporphyrins, and urobilinogen. Do not use IV route in children. Use only in management of prolonged vomiting of known etiology"
Promethazine,"Antihistamine, antiemetic, phenothiazine derivative
******************************************
Antihistaminic:
      Child ≥ 2 yr: 0.1 mg/kg/dose (max. dose: 12.5 mg/dose) Q6 hr PO during the day hours and 0.5 mg/kg/dose (max. dose: 25 mg/dose) QHS PO PRN
      Adult: 6.25–12.5 mg PO/PR TID and 25 mg QHS

Nausea and vomiting PO/IM/IV/PR (see remarks):
      Child ≥ 2 yr: 0.25–1 mg/kg/dose Q4–6 hr PRN; max. dose: 25 mg/dose
      Adult: 12.5–25 mg Q4–6 hr PRN

Motion sickness: (1st dose 0.5–1 hr before departure):
      Child ≥ 2 yr: 0.5 mg/kg/dose Q12 hr PO/PR PRN; max. dose: 25 mg/dose
      Adult: 25 mg PO Q8–12 hr PRN


Avoid use in children <2 yr because of risk for fatal respiratory depression. Toxicity similar to other phenothiazines (see Chlorpromazine). Do not administer SC or intra-arterially because of severe local reactions. IV route of administration is not recommended (IM preferred) due to severe tissue injury (tissue necrosis and gangrene). If using IV route, dilute 25 mg/mL strength product with 10–20 mL NS and administer over 10–15 min, consider lower initial doses, administer through a large-bore vein and check patency of line before administering, administer through an IV line at the port farthest from the patient’s vein, and monitor for burning or pain during or after injection. Administer oral doses with meals to decrease GI irritation. May cause profound sedation, blurred vision, respiratory depression (use lowest effective dose in children and avoid concomitant use of respiratory depressants), and dystonic reactions (reversed by diphenhydramine). Cholestatic jaundice and neuroleptic malignant syndrome has been reported.
May intefere with pregnancy tests (immunological reactions between hCG and anti-hCG). For nausea and vomiting, use only in management of prolonged vomiting of known etiology"
Propranolol,"Adrenergic blocking agent (β), class II antiarrhythmic
******************************************
Arrhythmias:
   Child:
        IV: 0.01–0.1 mg/kg/dose IV push over 10 min, repeat Q6–8 hr PRN; max. dose: 1 mg/dose for infant; 3 mg/dose for child
        PO: Start at 0.5–1 mg/kg/24 hr ÷ Q6–8 hr; increase dosage Q3–5 days PRN. Usual dosage range: 2–4 mg/kg/24 hr ÷ Q6–8 hr; max. dose: 60 mg/24 hr or 16 mg/kg/24 hr

Arrhythmias:
   Adult:
      IV: 1 mg/dose Q5 min up to total 5 mg
     PO: 10–30 mg/dose TID–QID; increase PRN. Usual dosage range: 30–160 mg/24 hr ÷ TID–QID

Hypertension:
   Child:
       PO: Initial: 0.5–1 mg/kg/24 hr ÷ Q6–12 hr. May increase dose Q5–7 days PRN; max. dose: 8 mg/ kg/24 hr
   Adult:
       PO: 40 mg/dose PO BID or 60–80 mg/dose (sustained-release capsule) PO once daily. May increase 10–20 mg/dose Q3–7 days; max. dose: 640 mg/24 hr

Migraine prophylaxis:
    Child:
        <35 kg: 10–20 mg PO TID
        ≥35 kg: 20–40 mg PO TID
   Adult: 80 mg/24 hr ÷ Q6–8 hr PO; increase dose by 20–40 mg/dose Q3–4 wk PRN. Usual effective dose range: 160–240 mg/24 hr

Tetralogy spells:
     IV: 0.15–0.25 mg/kg/dose slow IV push. May repeat in 15 min × 1. See also Chapter 7.
    PO: Start at 2–4 mg/kg/24 hr ÷ Q6 hr PRN. Usual dose range: 4–8 mg/kg/24 hr ÷ Q6 hr PRN.

Doses as high as 15 mg/kg/24 hr have been used with careful monitoring.

Thyrotoxicosis:
    Neonate: 2 mg/kg/24 hr PO ÷ Q6–12 hr
    Adolescent and adult:
         IV: 1–3 mg/dose over 10 min. May repeat in 4–6 hr
        PO: 10–40 mg/dose PO Q6 hr

Infantile hemangioma (see remarks):
      Infant (5 wk–5 mo and ≥2 kg; labelled dosing information for Hemangeol product): 0.6 mg/kg/ dose BID PO (at least 9 hr apart) × 7 days, then increase to 1.1 mg/kg/dose BID PO × 14 days, followed by 1.7 mg/kg/dose BID PO × 6 mo
              Alternative dosing: Start at 1 mg/kg/24 hr ÷ Q8 hr PO. If tolerated after one day, increase dose to 2 mg/kg/24 hr ÷ Q8 hr PO

Contraindicated in asthma, Raynaud’s syndrome, heart failure, and heart block. Not indicated for the treatment of hypertensive emergencies. Use with caution in presence of obstructive lung disease, diabetes mellitus, and renal or hepatic disease. May cause
hypoglycemia, hypotension, nausea, vomiting, depression, weakness, impotence, bronchospasm, and heart block. Cutaneous reactions, including Stevens–Johnson, TEN, exfoliative dermatitis, erythema multiforme, and utricaria have been reported. Acute
hypertension has occurred after insulin-induced hypoglycemia in patients on propranolol. Therapeutic levels: 30–100 ng/mL. Drug is metabolized by CYP450 1A2, 2C18, 2C19, and 2D6 isoenzymes. Concurrent administration with barbiturates, indomethacin, or rifampin may cause decreased activity of propranolol. Concurrent administration with cimetidine, hydralazine, flecainide, quinidine, chlorpromazine, or verapamil may lead to increased activity of propranolol. Avoid IV use of propranolol with calcium channel blockers; may increase effect of calcium channel blocker. Use with amiodarone may increase negative chronotropic effects. For infantile hemangioma, monitor BP and HR 2 hr after initiating therapy and after dose increases. To reduce risk of hypoglycemia, administer doses during or right after a feeding; hold doses if child is not eating or is vomiting. Infants <6 mo must be fed every 4 hr. Readjust dose periodically with changes (increases) in child’s body weight. Successful use in infantile hepatic hemangiomas has
also been reported. Pregnancy category changes to “D” if used in second or third trimesters"
Propylthiouracil,"Antithyroid agent
**************
Dosages should be adjusted as required to achieve and maintain T4, TSH levels in normal ranges.
     Neonate: 5–10 mg/kg/24 hr ÷ Q8 hr PO
    Child:
          Initial: 5–7 mg/kg/24 hr ÷ Q8 hr PO, OR by age
              6–10 yr: 50–150 mg/24 hr ÷ Q8 hr PO
             >10 yr: 150–300 mg/24 hr ÷ Q8 hr PO
        Maintenance: Generally begins after 2 mo. Usually 1/3–2/3 the initial dose in divided doses (Q8–12 hr) when the patient is euthyroid

Adult:
      Initial: 300–400 mg/24 hr ÷ Q6–8 hr PO; some may require larger doses of 600–900 mg/24 hr
      Maintenance: 100–150 mg/24 hr ÷ Q8 hr PO

Generally reserved for patients who are unable to tolerate methimazole and for whom radioactive iodine or surgery are not appropriate. May be the antithyroid treatment of choice during or just prior to the first trimester of pregnancy because of risk for fetal abnormalities associated with methimazole. May cause blood dyscrasias, fever, liver disease, dermatitis, urticaria, malaise, CNS stimulation or depression, and arthralgias. Glomerulonephritis, severe liver injury/failure, agranulocytosis,
interstitial pneumonitis, exfoliative dermatitis, and erythema nodosum have also been reported. May decrease the effectiveness of warfarin. Monitor thyroid function. A dose reduction of β-blocker may be necessary when the hyperthyroid patient becomes euthyroid. For neonates, crush tablets, weigh appropriate dose, and mix in formula/breast milk. Adjust dose in renal failure"
Protamine Sulfate,"Antidote, heparin
**************
Heparin antidote, IV:
       1 mg protamine will neutralize 115 U porcine intestinal heparin, or 100 U (1 mg) lowmolecular-weight heparin.

Consider time since last heparin dose:
      If <0.5 hr: give 100% of specified dose
      If within 0.5–1 hr: give 50%–75% of aforementioned dose
      If within 1–2 hr: give 37.5%–50% of aforementioned dose
      If ≥2 hr: give 25%–37.5% of aforementioned dose
      Max. dose: 50 mg/dose IV
      Max. infusion rate: 5 mg/min
      Max. IV concentration: 10 mg/mL

If heparin was administered by deep SC injection, give 1–1.5 mg protamine per 100 U heparin as follows:
        Load with 25–50 mg via slow IV infusion followed by the rest of the calculated dose via continuous infusion over 8–16 hr or the expected duration of heparin absorption.
        Enoxaparin overdosage, IV (see remarks): Approximately 1 mg protamine will neutralize 1 mg enoxaparin.

Consider time since last enoxaparin dose:
      If <8 hr: give 100% of aforementioned dose.
      If within 8–12 hr: Give 50% of aforementioned dose.
      If >12 hr: Protamine not required but if serious bleeding is present, give 50% of aforementioned dose.
      If aPTT remains prolonged 2–4 hr after the first protamine dose, a second infusion of 0.5 mg protamine per 1 mg enoxaparin may be given.
      Max. dose: 50 mg/dose. See Heparin antidote IV dosage for max. administration concentration and rate.

Risk factors for protamine hypersensitivity include known hypersensitivity to fish and exposure to protamine-containing insulin or prior protamine therapy. May cause hypotension, bradycardia, dyspnea, and anaphylaxis. Monitor aPTT or ACT. Heparin rebound
with bleeding has been reported to occur 8–18 hr later. Use in enoxaparin overdose may not be complete despite using multiple doses of protamine"
Pseudoephedrine,"Sympathomimetic, nasal decongestant
*******************************
Child <12 yr: 4 mg/kg/24 hr ÷ Q6 hr PO or by age
       <4 yr: 4 mg/kg/24 hr ÷ Q6 hr PO; max. dose: 60 mg/24 hr
        4–5 yr: 15 mg/dose Q4–6 hr PO; max. dose: 60 mg/24 hr
       6–12 yr: 30 mg/dose Q4–6 hr PO; max. dose: 120 mg/24 hr
Child ≥12 yr and adult:
       Immediate release: 30–60 mg/dose Q4–6 hr PO; max. dose: 240 mg/24 hr
Sustained release:
         Sudafed 12 Hour and generics: 120 mg PO Q12 hr
         Sudafed 24 Hour: 240 mg PO Q24 hr

Contraindicated with MAO inhibitor drugs and in severe hypertension and severe coronary artery disease. Use with caution in mild/moderate hypertension, hyperglycemia hyperthyroidism, and cardiac disease. May cause dizziness, nervousness, restlessness, insomnia, and arrhythmias. Pseudoephedrine is a common component of OTC cough and cold preparations and is combined with several antihistamines; these products are not recommended for children <6 yr. Because drug and active metabolite are primarily excreted renally, doses should be adjusted in renal impairment. May cause false-positive test for amphetamines (EMIT assay)."
Psyllium,"Bulk-forming laxative
******************
Constipation (granules or powder must be mixed with a full glass (240 mL) of water or juice):
      <6 yr: 1.25–2.5 g/dose PO once daily–TID; max. dose: 7.5 g/24 hr
      6–11 yr: 2.5–3.75 g/dose PO once daily–TID; max. dose: 15 g/24 hr
      ≥12 yr and adult: 2.5–7.5 g/dose PO once daily–TID; max. dose: 30 g/24 hr

Contraindicated in cases of fecal impaction or GI obstruction. Use with caution in patients with esophageal strictures and rectal bleeding. Phenylketonurics should be aware that certain preparations may contain aspartame. Should be taken or mixed with a full glass
(240 mL) of liquid. Onset of action: 12–72 hr"
Pyrantel Pamoate,"Anthelmintic 
***********
All doses expressed in terms of pyrantel base.

Child (≥2 yr) and adult:
      Ascaris (roundworm) and Trichostrongylus: 11 mg/kg/dose PO × 1
      Enterobius (pinworm): 11 mg/kg/dose PO × 1. Repeat same dose 2 wk later
      Hookworm or eosinophilic enterocolitis: 11 mg/kg/dose PO once daily × 3 days
      Moniliformis: 11 mg/kg/dose PO × 1. Repeat twice 2 weeks apart
      Max. dose (all indications): 1 g/dose

Use with caution in liver dysfunction. Do not use in combination with piperazine because of antagonism. May cause nausea, vomiting, anorexia, transient AST elevations, headaches, rash, and muscle weakness. Limited experience in children <2 yr. May increase theophylline levels. Drug may be mixed with milk or fruit juice and may be taken with food"
Pyrazinamide,"Antituberculous agent
******************
Tuberculosis: Use as part of a multidrug regimen for tuberculosis. See latest edition of the AAP Red Book for recommended treatement for tuberculosis.
  Child:
     Daily dose: 15–30 mg/kg/24 hr PO once daily; max. dose: 2 g/24 hr
     Twice-weekly dose: 50 mg/kg/dose PO 2 × per week; max. dose: 2 g/dose
  Adult:
     Daily dose: 15–30 mg/kg/24 hr PO once daily; max. dose: 2 g/24 hr
     Twice-weekly dose: 50–70 mg/kg/dose PO 2 × per week; max. dose: 4 g/dose

See latest edition of the AAP Red Book for recommended treatment for tuberculosis. Contraindicated in severe hepatic damage and acute gout. The CDC and ATS do not recommend the combination of pyrazinamide and rifampin for latent TB infections. Use
with caution in patients with renal failure (dosage reduction has been recommended), gout or diabetes mellitus. Monitor liver function tests (baseline and periodic) and serum uric acid. Hepatotoxicity is most common dose-related side effect; doses ≤30 mg/kg/24 hr minimize effect. Hyperuricemia, maculopapular rash, arthralgia, fever, acne, porphyria, dysuria, and photosensitivity may occur. Severe hepatic toxicity may occur with rifampin use. May decrease isoniazid levels"
Pyrethrins With Piperonyl Butoxide,"Pediculicide
**********
Pediculosis (≥2 yr and adult): Apply to hair or affected body area for 10 min, then wash thoroughly and comb with fine-tooth comb or nit-removing comb; repeat in 7–10 days.

Contraindicated in ragweed hypersensitivity; drug is derived from chrysanthemum flowers. For topical use only. Avoid use in and around the eyes, mouth, nose, or vagina. Avoid repeat applications in <24 hr. Low ovicidal activity requires repeat treatment. Dead nits require mechanical removal. Wash bedding and clothing to eradicate infestation. Local irritation including erythema, pruritis, urticaria, edema, and eczema may occur"
Pyridostigmine Bromide,"Cholinergic agent
**************
Myasthenia gravis:
    Neonate:
        PO: 5 mg/dose Q4–6 hr
        IM/IV: 0.05–0.15 mg/kg/dose Q4–6 hr; max. single IM/IV dose: 10 mg
   Child:
       PO: 7 mg/kg/24 hr in 5–6 divided doses
       IM/IV: 0.05–0.15 mg/kg/dose Q4–6 hr; max. single IM/IV dose: 10 mg
  Adult:
      PO (immediate release): 60 mg TID; increase Q48 hr PRN. Usual effective dose: 60–1500 mg/24 hr
      PO (sustained release): 180–540 mg once daily–BID
      IM/IV (use when PO therapy is not practical): Give 1/30 of the usual PO

Contraindicated in mechanical intestinal or urinary obstruction. Use with caution in patients with epilepsy, asthma, bradycardia, hyperthyroidism, arrhythmias, or peptic ulcer. May cause nausea, vomiting, diarrhea, rash, headache, and muscle cramps. Pyridostigmine is mainly excreted unchanged by the kidney. Therefore, lower doses titrated to effect in renal disease may be necessary. Changes in oral dosages may take several days to show results. Atropine is the antidote"
